circle_id	circle_age	circle_name	country_state	lat	lon	count_year	count_date	feeder_hours	n_feeder_counters	n_field_counters	min_field_parties	max_field_parties	field_hours	field_distance	nocturnal_hours	nocturnal_distance	distance_units	min_temp	max_temp	temp_unit	min_snow	max_snow	snow_unit	min_wind	max_wind	wind_unit	am_cloud	pm_cloud	circle_birth_year	snow_heavy_am	snow_light_am	snow_none_am	snow_unknown_am	snow_heavy_pm	snow_light_pm	snow_none_pm	snow_unknown_pm	snow_heavy_any	snow_light_any	snow_none_any	snow_unknown_any	rain_heavy_am	rain_light_am	rain_none_am	rain_unknown_am	rain_heavy_pm	rain_light_pm	rain_none_pm	rain_unknown_pm	rain_heavy_any	rain_light_any	rain_none_any	rain_unknown_any
Genesee County_US-MI	28	Genesee County	US-MI	43.105965	-83.617346	2008	2007-12-15	0	0	12	6	7	70	677.53214	2	1.60934	Kilometers	15	250	2	0	2	2	0	10	1	2	2	1980	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
Fish Springs N.W.R._US-UT	25	Fish Springs N.W.R.	US-UT	39.810718	-113.399014	2006	2006-01-01	0	0	4	1	2	14	138.40324	0	0	Kilometers	30	467	2	0	0	2	0	24	1	6	2	1981	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
Jetmore_US-KS	4	Jetmore	US-KS	38.03	-99.53	2006	2006-01-04	0	0	2	1	1	8	223.69826	0	0	Kilometers	27	768	2	0	0	2	5	10	1	1	6	2002	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
Laysan Island_US-HI	9	Laysan Island	US-HI	25.7691	-171.7331	2004	2003-12-19	0	0	3	2	3	6	16.0934	1	1.60934	Kilometers	154	176	2	0	0	2	0	6	1	2	1	1995	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
Port St. Joe_US-FL	11	Port St. Joe	US-FL	29.770305	-85.298581	1992	1991-12-30	0	0	18	6	8	65	492.45804	5	24.1401	Kilometers	40	606	2	0	0	2	5	25	1	2	6	1981	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
St. Tammany Parish_US-LA	24	St. Tammany Parish	US-LA	30.421122	-90.088563	1989	1988-12-30	0	0	15	NA	NA	89.5	524.64484	1	8.0467	Kilometers	51	745	NA	0	0	NA	5	15	NA	2	6	1965	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
